model_name,seed,training_status,quantisation_status,training_dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_2,0.29,0.71,0.22,0,17,100,29,22,0.14285714285714285,0.3333333333333333,0.21428571428571427,0.2,0.26666666666666666,0.21428571428571427,0.15384615384615385,0.07,0.21,0.13,0.15,0.14,0.13,0.11,61,7,10
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_1,0.3838383838383838,0.6161616161616161,0.36363636363636365,0,11,99,38,36,0.14285714285714285,0.5,0.38461538461538464,0.13333333333333333,0.5,0.46153846153846156,0.4375,0.12121212121212122,0.1717171717171717,0.12121212121212122,0.13131313131313133,0.1111111111111111,0.16161616161616163,0.16161616161616163,52,2,9
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_2,0.36,0.64,0.3,0,13,100,36,30,0.42857142857142855,0.26666666666666666,0.42857142857142855,0.2,0.13333333333333333,0.42857142857142855,0.23076923076923078,0.13,0.19,0.15,0.14,0.09,0.13,0.13,57,6,7
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_1,0.41414141414141414,0.5858585858585859,0.36363636363636365,0,9,99,41,36,0.35714285714285715,0.42857142857142855,0.38461538461538464,0.26666666666666666,0.5714285714285714,0.3076923076923077,0.25,0.15151515151515152,0.15151515151515152,0.10101010101010101,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.1717171717171717,54,5,4
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_2,0.37,0.63,0.32,0,11,100,37,32,0.35714285714285715,0.4,0.42857142857142855,0.26666666666666666,0.2,0.2857142857142857,0.3076923076923077,0.16,0.17,0.09,0.18,0.13,0.12,0.14,57,5,6
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_1,0.30303030303030304,0.696969696969697,0.2828282828282828,0,9,99,30,28,0.21428571428571427,0.35714285714285715,0.23076923076923078,0.26666666666666666,0.5,0.23076923076923078,0.1875,0.13131313131313133,0.15151515151515152,0.13131313131313133,0.13131313131313133,0.16161616161616163,0.12121212121212122,0.1717171717171717,62,2,7
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_2,0.4,0.6,0.39,0,4,100,40,39,0.5,0.3333333333333333,0.42857142857142855,0.26666666666666666,0.4,0.35714285714285715,0.46153846153846156,0.14,0.17,0.15,0.14,0.15,0.11,0.14,57,1,3
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_1,0.42424242424242425,0.5757575757575757,0.37373737373737376,0,7,99,42,37,0.35714285714285715,0.35714285714285715,0.3076923076923077,0.3333333333333333,0.42857142857142855,0.46153846153846156,0.375,0.13131313131313133,0.16161616161616163,0.1414141414141414,0.12121212121212122,0.13131313131313133,0.16161616161616163,0.15151515151515152,55,5,2
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_2,0.45,0.55,0.43,0,8,100,45,43,0.5714285714285714,0.4666666666666667,0.6428571428571429,0.26666666666666666,0.26666666666666666,0.42857142857142855,0.38461538461538464,0.13,0.15,0.18,0.12,0.15,0.14,0.12,49,2,6
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_1,0.35353535353535354,0.6464646464646464,0.3434343434343434,0,6,99,35,34,0.35714285714285715,0.42857142857142855,0.3076923076923077,0.26666666666666666,0.42857142857142855,0.23076923076923078,0.375,0.1414141414141414,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.1717171717171717,0.13131313131313133,0.16161616161616163,59,1,5
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,zero_shot,unstructured,answer_first,json,test_set_2,0.4,0.6,0.37,0,5,100,40,37,0.5,0.4,0.5714285714285714,0.3333333333333333,0.4,0.2857142857142857,0.07692307692307693,0.15,0.15,0.15,0.14,0.15,0.12,0.14,58,3,2
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_1,0.16161616161616163,0.8383838383838383,0.0707070707070707,47,53,99,16,7,0.0,0.0,0.23076923076923078,0.06666666666666667,0.0,0.15384615384615385,0.0625,0.1111111111111111,0.0,0.1414141414141414,0.050505050505050504,0.04040404040404041,0.13131313131313133,0.06060606060606061,39,9,44
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_2,0.24,0.76,0.11,36,54,100,24,11,0.07142857142857142,0.0,0.2857142857142857,0.13333333333333333,0.13333333333333333,0.14285714285714285,0.0,0.09,0.0,0.21,0.07,0.04,0.1,0.04,35,13,41
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_1,0.26262626262626265,0.7373737373737373,0.23232323232323232,23,12,99,26,23,0.07142857142857142,0.35714285714285715,0.46153846153846156,0.06666666666666667,0.2857142857142857,0.3076923076923077,0.125,0.13131313131313133,0.1919191919191919,0.12121212121212122,0.1414141414141414,0.08080808080808081,0.16161616161616163,0.16161616161616163,64,3,9
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_2,0.22,0.78,0.15,26,11,100,22,15,0.21428571428571427,0.2,0.2857142857142857,0.13333333333333333,0.0,0.14285714285714285,0.07692307692307693,0.12,0.21,0.15,0.14,0.08,0.13,0.13,74,7,4
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_1,0.35353535353535354,0.6464646464646464,0.3434343434343434,13,8,99,35,34,0.21428571428571427,0.42857142857142855,0.6153846153846154,0.13333333333333333,0.42857142857142855,0.38461538461538464,0.25,0.16161616161616163,0.1414141414141414,0.1111111111111111,0.1414141414141414,0.15151515151515152,0.1414141414141414,0.15151515151515152,57,1,7
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_2,0.2,0.8,0.18,14,9,100,20,18,0.2857142857142857,0.13333333333333333,0.21428571428571427,0.26666666666666666,0.26666666666666666,0.0,0.07692307692307693,0.13,0.16,0.14,0.13,0.16,0.14,0.12,73,2,7
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_1,0.24242424242424243,0.7575757575757576,0.24242424242424243,32,7,99,24,24,0.07142857142857142,0.2857142857142857,0.3076923076923077,0.13333333333333333,0.21428571428571427,0.38461538461538464,0.3125,0.13131313131313133,0.1717171717171717,0.13131313131313133,0.1414141414141414,0.10101010101010101,0.15151515151515152,0.1717171717171717,68,0,7
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_2,0.15,0.85,0.14,52,11,100,15,14,0.0,0.26666666666666666,0.2857142857142857,0.0,0.2,0.07142857142857142,0.15384615384615385,0.14,0.21,0.17,0.12,0.08,0.13,0.13,75,1,10
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_1,0.35353535353535354,0.6464646464646464,0.35353535353535354,7,5,99,35,35,0.21428571428571427,0.42857142857142855,0.38461538461538464,0.2,0.5714285714285714,0.38461538461538464,0.3125,0.13131313131313133,0.15151515151515152,0.13131313131313133,0.1414141414141414,0.12121212121212122,0.15151515151515152,0.16161616161616163,59,0,5
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_2,0.26,0.74,0.24,4,4,100,26,24,0.2857142857142857,0.3333333333333333,0.21428571428571427,0.2,0.3333333333333333,0.14285714285714285,0.15384615384615385,0.13,0.16,0.16,0.14,0.14,0.13,0.13,72,2,2
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_1,0.3333333333333333,0.6666666666666667,0.32323232323232326,1,5,99,33,32,0.14285714285714285,0.2857142857142857,0.5384615384615384,0.2,0.2857142857142857,0.38461538461538464,0.4375,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.15151515151515152,0.1414141414141414,0.15151515151515152,62,1,4
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,few_shot,structured,fact_first,json,test_set_2,0.34,0.6599999999999999,0.32,0,5,100,34,32,0.42857142857142855,0.4,0.5,0.4,0.26666666666666666,0.14285714285714285,0.07692307692307693,0.15,0.15,0.16,0.13,0.15,0.13,0.13,63,2,3
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,unstructured,fact_first,json,test_set_1,0.2727272727272727,0.7272727272727273,0.21212121212121213,5,22,99,27,21,0.14285714285714285,0.2857142857142857,0.23076923076923078,0.2,0.07142857142857142,0.23076923076923078,0.3125,0.10101010101010101,0.26262626262626265,0.12121212121212122,0.13131313131313133,0.010101010101010102,0.1414141414141414,0.1717171717171717,56,6,16
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,unstructured,fact_first,json,test_set_2,0.31,0.69,0.24,1,23,100,31,24,0.14285714285714285,0.3333333333333333,0.35714285714285715,0.26666666666666666,0.06666666666666667,0.14285714285714285,0.38461538461538464,0.08,0.23,0.17,0.13,0.03,0.12,0.13,53,7,16
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,unstructured,fact_first,json,test_set_1,0.30303030303030304,0.696969696969697,0.2828282828282828,5,11,99,30,28,0.14285714285714285,0.2857142857142857,0.38461538461538464,0.4,0.21428571428571427,0.3076923076923077,0.25,0.1414141414141414,0.16161616161616163,0.1111111111111111,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.16161616161616163,60,2,9
