model_name,seed,training_status,quantisation_status,training dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,structured,answer_first,markdown,test_set_2,0.29,0.71,0.0,38,98,100,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,2,29,69
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,unstructured,answer_first,markdown,test_set_2,0.48,0.52,0.0,3,100,100,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,52
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,unstructured,answer_first,markdown,test_set_1,0.46464646464646464,0.5353535353535354,0.030303030303030304,10,94,99,46,3,0.07142857142857142,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,2,43,51
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,structured,answer_first,markdown,test_set_1,0.29292929292929293,0.7070707070707071,0.04040404040404041,30,90,99,29,4,0.0,0.0,0.15384615384615385,0.06666666666666667,0.0,0.07692307692307693,0.0,0.0,0.010101010101010102,0.020202020202020204,0.010101010101010102,0.010101010101010102,0.030303030303030304,0.010101010101010102,5,25,65
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,structured,answer_first,markdown,test_set_2,0.34,0.6599999999999999,0.04,34,89,100,34,4,0.0,0.0,0.0,0.06666666666666667,0.0,0.21428571428571427,0.0,0.0,0.0,0.02,0.03,0.02,0.05,0.0,7,30,59
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,unstructured,answer_first,markdown,test_set_2,0.46,0.54,0.02,5,97,100,46,2,0.07142857142857142,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,1,44,53
llama2,seed_206,trained,full_model,all_domains_all_samples,all,"[""all""]",True,greedy,few_shot,structured,fact_first,markdown,test_set_2,0.36,0.64,0.32,0,9,100,36,32,0.35714285714285715,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.26666666666666666,0.42857142857142855,0.23076923076923078,0.13,0.19,0.15,0.14,0.09,0.13,0.13,59,4,5
llama3,seed_3991,untrained,full_model,,,,,temp_09,few_shot,structured,answer_first,markdown,test_set_1,0.2828282828282828,0.7171717171717171,0.030303030303030304,30,93,99,28,3,0.0,0.0,0.07692307692307693,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.020202020202020204,0.030303030303030304,0.0,3,25,68
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,unstructured,answer_first,markdown,test_set_1,0.5353535353535354,0.46464646464646464,0.0,2,99,99,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,46
llama3,seed_3991,untrained,full_model,,,,,temp_09,few_shot,unstructured,answer_first,markdown,test_set_1,0.43434343434343436,0.5656565656565656,0.030303030303030304,8,89,99,43,3,0.07142857142857142,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.04040404040404041,0.0,0.030303030303030304,0.010101010101010102,0.010101010101010102,0.030303030303030304,0.010101010101010102,7,40,49
llama3,seed_3991,untrained,full_model,,,,,temp_09,few_shot,unstructured,answer_first,markdown,test_set_2,0.49,0.51,0.07,10,88,100,49,7,0.14285714285714285,0.0,0.21428571428571427,0.06666666666666667,0.0,0.07142857142857142,0.0,0.03,0.02,0.04,0.02,0.01,0.01,0.0,5,42,46
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,unstructured,answer_first,markdown,test_set_2,0.48,0.52,0.0,2,100,100,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,52
llama3,seed_3991,untrained,full_model,,,,,temp_09,few_shot,structured,answer_first,markdown,test_set_2,0.39,0.61,0.04,23,89,100,39,4,0.0,0.0,0.14285714285714285,0.06666666666666667,0.0,0.0,0.07692307692307693,0.01,0.02,0.02,0.02,0.03,0.0,0.02,7,35,54
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,structured,answer_first,markdown,test_set_1,0.35353535353535354,0.6464646464646464,0.0,33,98,99,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,1,35,63
llama3,seed_3991,untrained,full_model,,,,,greedy,few_shot,structured,answer_first,markdown,test_set_2,0.34,0.6599999999999999,0.0,35,99,100,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1,34,65
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,unstructured,answer_first,markdown,test_set_1,0.5151515151515151,0.48484848484848486,0.0,4,99,99,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51,48
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,unstructured,answer_first,markdown,test_set_2,0.48,0.52,0.0,3,100,100,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,52
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,structured,answer_first,markdown,test_set_1,0.3434343434343434,0.6565656565656566,0.0,33,98,99,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,1,34,64
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,unstructured,answer_first,markdown,test_set_2,0.46,0.54,0.02,5,97,100,46,2,0.07142857142857142,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,1,44,53
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,unstructured,answer_first,markdown,test_set_1,0.46464646464646464,0.5353535353535354,0.030303030303030304,10,94,99,46,3,0.07142857142857142,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,2,43,51
llama3,seed_3991,untrained,full_model,,,,,temp_025,few_shot,structured,answer_first,markdown,test_set_2,0.29,0.71,0.0,38,98,100,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,2,29,69
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,structured,answer_first,markdown,test_set_1,0.29292929292929293,0.7070707070707071,0.04040404040404041,30,90,99,29,4,0.0,0.0,0.15384615384615385,0.06666666666666667,0.0,0.07692307692307693,0.0,0.0,0.010101010101010102,0.020202020202020204,0.010101010101010102,0.010101010101010102,0.030303030303030304,0.010101010101010102,5,25,65
llama3,seed_3991,untrained,full_model,,,,,temp_06,few_shot,structured,answer_first,markdown,test_set_2,0.34,0.6599999999999999,0.04,34,89,100,34,4,0.0,0.0,0.0,0.06666666666666667,0.0,0.21428571428571427,0.0,0.0,0.0,0.02,0.03,0.02,0.05,0.0,7,30,59
